item_id,item_description,vendor_id,unit_cost
1,Enable Distributed Applications,20.0,64.46
2,Deliver Compelling Relationships,,23.88
3,Engage Cross-Platform Channels,14.0,99.73
4,Integrate Distributed Relationships,6.0,23.0
5,Harness Seamless Applications,8.0,39.15
6,Brand World-Class Methodologies,10.0,18.09
7,Disintermediate Clicks-And-Mortar Platforms,11.0,63.29
8,Syndicate Wireless E-Tailers,10.0,18.25
9,Grow Frictionless Methodologies,11.0,60.44
10,Benchmark Visionary Action-Items,1.0,48.78
11,Matrix Dot-Com Relationships,7.0,75.81
12,Whiteboard Plug-And-Play Solutions,10.0,85.21
13,Target Real-Time Action-Items,17.0,47.36
14,Aggregate Clicks-And-Mortar Interfaces,20.0,75.05
15,Engineer Dynamic Users,15.0,75.7
16,Engage Bleeding-Edge Solutions,10.0,65.05
17,Orchestrate Clicks-And-Mortar Interfaces,13.0,84.81
18,Engage Cross-Media E-Business,18.0,81.43
19,Matrix Integrated Architectures,11.0,51.3
20,Orchestrate Revolutionary Infrastructures,2.0,59.2
21,Redefine Plug-And-Play Action-Items,5.0,97.81
22,Empower Scalable Models,3.0,46.01
23,Optimize Synergistic Partnerships,2.0,68.79
24,Maximize Next-Generation E-Services,6.0,74.51
25,Monetize Interactive Synergies,19.0,18.56
26,Target Wireless Architectures,17.0,10.22
27,Target Ubiquitous Convergence,20.0,69.41
28,Target Out-Of-The-Box Info-Mediaries,17.0,71.79
29,Expedite B2C Interfaces,2.0,5.69
30,Generate Out-Of-The-Box Action-Items,15.0,43.5
31,Envisioneer Mission-Critical Solutions,2.0,17.59
32,Drive Leading-Edge Content,17.0,16.15
33,Implement Extensible E-Commerce,12.0,23.19
34,Iterate E-Business E-Tailers,4.0,55.49
35,Re-Contextualize Proactive Experiences,10.0,66.51
36,Cultivate Interactive Initiatives,,23.07
37,Empower Transparent Networks,3.0,92.45
38,Re-Contextualize Best-Of-Breed Interfaces,8.0,45.51
39,Target Front-End Channels,1.0,46.14
40,Engineer Bricks-And-Clicks Schemas,17.0,59.72
41,Envisioneer Back-End Functionalities,10.0,62.9
42,Deploy Innovative Methodologies,18.0,20.48
43,Orchestrate Innovative E-Business,19.0,22.63
44,Cultivate Bricks-And-Clicks Architectures,8.0,18.14
45,Orchestrate Killer Web Services,13.0,27.81
46,Strategize Plug-And-Play Mindshare,6.0,10.32
47,Innovate Rich Vortals,6.0,37.82
48,Empower World-Class Communities,5.0,84.18
49,Harness B2B Interfaces,10.0,38.12
50,Repurpose Seamless Web Services,4.0,52.28
